System,Outage,Materials & Mfg,Transport,Use,End-of-Life,,,,,,
BESS,Frequent,14533.666,308.63049,0,3.6986599,,,,,,
BESS,Moderate,14533.666,308.63049,0,3.6986599,,,,,,
BESS,Rare,14533.666,308.63049,0,3.6986599,,,,,,
Propane,Frequent,3851.2654,68.408051,25545.155,2.1075758,,,,,,
Propane,Moderate,2714.1873,68.408051,12772.578,2.1075758,,,,,,
Propane,Rare,2145.6482,68.408051,6386.2888,2.1075758,,,,,,
Sand Battery,Frequent,1766.7524,100.97415,21.146932,0.71950493,,,,,,
Sand Battery,Moderate,1766.7524,100.97415,10.583923,0.71950493,,,,,,
Sand Battery,Rare,1766.7524,100.97415,5.3024187,0.71950493,,,,,,
BESS,Regular,14533.666,308.63049,0,3.6986599,,,,,,
Propane,Regular,11242.27393,68.40805139,108566.9107,2.107575794,,,,,,
Sand Battery,Regular,1766.752338,100.9741577,89.8064894,0.719504927,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,