System,Midpoint,Materials & Mfg,Transport,Use,End-of-Life
Sand Battery,Global warming,307.0408706,38.38867981,5.198070658,0.454185184
Sand Battery,Ozone depletion,0.022454644,0.005428369,0.001475375,4.7616E-05
Sand Battery,Ionizing radiation,0.001342439,0.012087395,5.99623E-07,1.24624E-06
Sand Battery,Ozone formation,1.264819787,0.179044406,0.022019176,0.002469849
Sand Battery,Particulate matter formation,229.5370913,129.0583627,2.415565826,0.131296894
Sand Battery,Terrestrial acidifcation,4.124088853,2.41313799,0.045091705,0.002525087
Sand Battery,Freshwater eutrophication,0.00735771,0.000778338,0.000427832,5.13042E-06
Sand Battery,Marine eutrophication,-0.000301998,3.18408E-06,3.15899E-06,1.65252E-07
Sand Battery,Terrestrial ecotoxicity,0.019831581,0.03924462,0.003004477,6.17587E-06
Sand Battery,Freshwater ecotoxicity,-0.000457997,0.001728952,3.86041E-05,2.8404E-07
Sand Battery,Marine ecotoxicity,0.000193347,0.000564966,2.68878E-05,5.27857E-07
Sand Battery,Human toxicity (cancer),0.496038564,0.21245717,0.031700684,0.00018587
Sand Battery,Human toxicity (non-cancer),0.593772569,8.976164011,0.303603824,0.011179358
Sand Battery,Land use,0.022224132,0,7.42998E-06,0.005167995
Sand Battery,Mineral resources,0.14073325,0.825706216,0.076194377,3.99365E-05
Sand Battery,Fossil resources,12.46720112,0.937724563,0.107226116,0.026508867
Sand Battery,Water use,0.009687053,0,0.114718623,0.000342737